"filename", "language", "JSON", "JavaScript", "Dotenv", "XML", "HTML", "Python", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\ProductDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 18, 180
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\Tracking.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 14, 127
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\css\BuyerDashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 58, 0, 3, 11, 72
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\css\CartOrders.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 13, 130
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\css\MarketplaceHome.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 10, 67
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\css\OrderDetail.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 24, 164
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\css\ProductDetail.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 97, 0, 4, 21, 122
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\css\Tracking.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 19, 112
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\css\NotFound.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 71, 0, 3, 10, 84
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\CropManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 629, 0, 0, 39, 48, 716
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 12, 16, 151
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\FarmMonitoring.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 338, 0, 0, 19, 37, 394
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\Irrigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 6, 23, 142
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\Marketplace.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 216, 0, 0, 2, 39, 257
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\OrdersLogistics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 2, 14, 125
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\Payments.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 287, 0, 0, 12, 22, 321
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\WarehouseInventory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 198, 0, 0, 2, 36, 236
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\CropManagement.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 441, 0, 19, 340, 800
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\Dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 132, 0, 6, 26, 164
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\FarmMonitoring.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 395, 0, 43, 317, 755
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\Irrigation.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 126, 0, 21, 133, 280
